Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
TSHB		ENSG00000134200	"Thyroid stimulating hormone subunit beta"	P01222	1	115029826-115034302	"Disease related genes, Human disease related genes, Predicted secreted proteins"		Hormone	"Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	2636	"pituitary gland: 1711.1"	"Group enriched"	"Detected in some"	12	"Early spermatids: 1.1;Late spermatids: 1.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Thyrotropes"	"Region enhanced"	"Detected in single"		"hypothalamus: 1.7"	"Not detected"	"Not detected"			"CAB022202, HPA042681, CAB080112"	Enhanced				"Secreted to blood"	Hormone	NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 36: Late spermatids - Unknown function"				"CAB022202: , CAB080112: , HPA042681: AB_2732500"			"unprognostic (4.50e-1)"																												
PRL		ENSG00000172179	Prolactin	P01236	6	22287244-22302826	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	Lactation	Hormone	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	1033	"pituitary gland: 36497.9"	"Group enriched"	"Detected in some"	5	"Early spermatids: 13.5;Late spermatids: 29.0;Oocytes: 19.9;Rod photoreceptor cells: 15.9;Skeletal myocytes: 33.2"	"Cell type enriched"	"Detected in single"	24	"midbrain-derived inhibitory: 14.9"	"Cancer enhanced"	"Detected in some"		"Bladder Urothelial Carcinoma (TCGA): 1.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"Leukemia: 10.8;lymphoma: 9.9;ovarian cancer: 6.5"	"Pituitary gland - Lactotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB023353, HPA042416, HPA062017"	Enhanced				"Secreted to blood"	Hormone	NA	NA	53900000	3600000		"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 66: Photoreceptor cells - Visual perception"	1			"CAB023353: AB_617369, HPA042416: AB_2677987, HPA062017: AB_2684660"	"unprognostic (2.44e-3)"		"unprognostic (7.61e-2)"				"unprognostic (2.51e-1)"																								
GH1	"GH, GH-N, GHN, hGH-N"	ENSG00000259384	"Growth hormone 1"	P01241	17	63917200-63918839	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		Hormone	"Cancer-related genes, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	869	"pituitary gland: 57767.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Somatotropes"									HPA043715	Supported				"Secreted to blood"	Hormone	NA	NA	2690000	3000000		"Cluster 49: Pituitary gland - Hormone signaling"		"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 73: B-cells - B-cell function"	3			"HPA043715: AB_2678632"			"unprognostic (3.92e-2)"																												
POMC	"ACTH, CLIP, LPH, MSH, NPP, POC"	ENSG00000115138	Proopiomelanocortin	P01189	2	25160853-25168903	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"		"Endorphin, Hormone"	"Cancer-related genes, Obesity"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	603	"pituitary gland: 33452.7"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 122.0;Late spermatids: 344.6;Spermatocytes: 74.2"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 21.9"	"Cancer enriched"	"Detected in many"	4	"Testicular Germ Cell Tumor (TCGA): 31.6"	"Region enriched"	"Detected in all"	9	"hypothalamus: 68.4"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Gallbladder cancer: 3.4;lung cancer: 2.6;lymphoma: 2.8"	"Pituitary gland - Corticotropes"	"Region enriched"	"Detected in all"	7	"hypothalamus: 44.0"	"Region enriched"	"Detected in all"	5	"hypothalamus: 117.7"	"CAB002762, HPA046135, HPA063644, CAB079881"	Enhanced				"Secreted to blood"	Hormone	NA	NA	380000		"Cluster 13: Non-specific - Mitochondria"	"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 63: Late spermatids - Spermatogenesis"	14			"CAB002762: , CAB079881: , HPA046135: AB_2679552, HPA063644: AB_2685071"	"unprognostic (1.07e-1)"		"unprognostic (1.18e-1)"	"unprognostic (6.17e-2)"			"unprognostic (4.12e-1)"		"unprognostic (1.15e-1)"							"unprognostic (1.18e-2)"		"unprognostic (5.77e-2)"		"unprognostic (1.39e-1)"	"unprognostic (1.59e-1)"	"unprognostic (1.31e-3)"					"unprognostic (6.58e-2)"	"unprognostic (6.85e-3)"	"unprognostic (1.37e-1)"	"unprognostic (2.35e-3)"	"unprognostic (2.05e-1)"
GHRHR		ENSG00000106128	"Growth hormone releasing hormone receptor"	Q02643	7	30938669-30993254	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, Dwarfism, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	351	"pituitary gland: 206.1"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Spermatocytes: 1.6;Spermatogonia: 2.6"	"Low cell type specificity"	"Detected in some"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	10	"prostate cancer: 2.1"	"Adrenal gland - Adrenal medulla cells, Kidney - Proximal tubular cells, Pituitary gland - Somatotropes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"		"Cluster 60: Prostate cancer - Unknown function"	"Cluster 67: Spermatogonia - Spermatogenesis"							"unprognostic (2.54e-1)"												"unprognostic (1.02e-1)"																
FSHB		ENSG00000131808	"Follicle stimulating hormone subunit beta"	P01225	11	30231014-30235261	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"		Hormone	"Cancer-related genes, Disease variant, Hypogonadotropic hypogonadism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	292	"pituitary gland: 232.6"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in single"		"upper-layer intratelencephalic: 1.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Gonadotropes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB023410, HPA069703"	Enhanced				"Secreted to blood"	Hormone	NA	NA		62000		"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 51: Neurons - Mixed function"		"Cluster 18: Early spermatids - Unknown function"	1			"CAB023410: AB_324983, HPA069703: AB_2686176"																															
LHB	"CGB4, hLHB, LSH-B"	ENSG00000104826	"Luteinizing hormone subunit beta"	P01229	19	49015980-49017091	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"		Hormone	"Cancer-related genes, Disease variant, Hypogonadotropic hypogonadism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	249	"pituitary gland: 4374.0"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 4.7;Late spermatids: 4.7;Melanocytes: 3.4;Oocytes: 3.7;Syncytiotrophoblasts: 10.2"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Skin Cuteneous Melanoma (TCGA): 2.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells, Pituitary gland - Gonadotropes"									"CAB022241, CAB022707, HPA038925"	Enhanced				"Secreted to blood"	Hormone	NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 45: Non-specific - Mixed function"	2			"CAB022241: , CAB022707: , HPA038925: AB_2676272"			"unprognostic (5.35e-3)"							"unprognostic (2.77e-1)"												"unprognostic (6.72e-3)"					"unprognostic (1.39e-2)"				
POU1F1	"GHF-1, PIT-1, PIT1, POU1F1a"	ENSG00000064835	"POU class 1 homeobox 1"	P28069	3	87259404-87276584	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	138	"pituitary gland: 58.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Bone cancer: 1.1"	"Pituitary gland - Lactotropes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA041646, HPA050624"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"		"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 68: Cardiomyocytes - Muscle contraction"	14	"Nucleoplasm, Cytosol"		"HPA041646: AB_10794672, HPA050624: AB_2681192"																															
GH2	"GH-V, GHL, GHV, hGH-V"	ENSG00000136487	"Growth hormone 2"	P01242	17	63880215-63881944	"Cancer-related genes, Predicted secreted proteins"		Hormone	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	79	"pituitary gland: 99.7;placenta: 123.9"	"Group enriched"	"Detected in some"	29	"Extravillous trophoblasts: 9.9;Syncytiotrophoblasts: 34.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	10	"testis cancer: 1.1"	"Pituitary gland - Somatotropes"									HPA043715	Supported				"Secreted to blood"	Hormone	NA	NA		1900000		"Cluster 58: Placenta - Pregnancy"		"Cluster 34: Testis cancer - Unknown function"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	1			"HPA043715: AB_2678632"																															
LHX3		ENSG00000107187	"LIM homeobox 3"	Q9UBR4	9	136196250-136205128	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	53	"pituitary gland: 56.8"	"Cell type enriched"	"Detected in some"	6	"Bipolar cells: 23.0"	"Cell type enriched"	"Detected in single"	10	"splatter: 1.0"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"pons: 2.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 2.3;lung cancer: 1.2"		"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	14																																		
