Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
TMPRSS11D	"ASP, HAT"	ENSG00000153802	"Transmembrane serine protease 11D"	O60235	4	67820876-67884002	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	84	"cervix: 50.1;esophagus: 69.8;lymphoid tissue: 33.5;salivary gland: 20.4;vagina: 73.7"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 58.9;Basal respiratory cells: 23.9;Serous glandular cells: 48.6;Suprabasal keratinocytes: 124.2"	"Cell type enhanced"	"Detected in all"		"mammillary body: 33.0"	"Group enriched"	"Detected in some"	13	"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 38.2;Head and Neck Squamous Cell Carcinoma (TCGA): 38.4;Lung Squamous Cell Carcinoma (TCGA): 15.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 2.1;head and neck cancer: 1.6;lymphoma: 2.4"	"Prostate - Urothelial cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA077704	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA		11000000		"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 59: Suprabasal keratinocytes - Cornification"	1			"HPA077704: "	"unprognostic (5.51e-2)"		"unprognostic (5.56e-1)"	"unprognostic (1.46e-1)"					"unprognostic (2.39e-2)"									"unprognostic (1.18e-1)"	"unprognostic (2.93e-1)"				"unprognostic (5.82e-3)"				"unprognostic (3.52e-1)"				
S100A7A	"S100A15, S100A7f, S100A7L1"	ENSG00000184330	"S100 calcium binding protein A7A"	Q86SG5	1	153416520-153423222	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	31	"esophagus: 5.5;lymphoid tissue: 5.7;skin 1: 1.6;vagina: 2.6"	"Group enriched"	"Detected in some"	11	"Basal keratinocytes: 5.2;Late spermatids: 4.2;Serous glandular cells: 2.2"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Head and Neck Squamous Cell Carcinoma (TCGA): 33.8;Skin Cuteneous Melanoma (TCGA): 16.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"head and neck cancer: 6.4"	"Testis - Late spermatids"									HPA006997	Supported		Uncertain	Cytosol			NA	NA				"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	27	Cytosol		"HPA006997: AB_1079860"	"unprognostic (3.73e-1)"	"unprognostic (3.28e-1)"	"unprognostic (5.90e-1)"	"unprognostic (7.18e-2)"					"unprognostic (4.05e-2)"									"unprognostic (1.84e-1)"	"unprognostic (1.88e-2)"								"unprognostic (1.41e-1)"				
KLK12	KLK-L5	ENSG00000186474	"Kallikrein related peptidase 12"	Q9UKR0	19	51029092-51035230	"Enzymes, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"cervix: 105.5;esophagus: 202.8;salivary gland: 62.8;vagina: 96.4"	"Cell type enriched"	"Detected in some"	4	"Suprabasal keratinocytes: 226.4"	"Cell type enriched"	"Detected in single"	47	"choroid plexus epithelial cell: 6.6"	"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 33.6;Lung Adenocarcinoma (TCGA): 46.1"	"Region enriched"	"Detected in single"	18	"choroid plexus: 4.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 6.1"	"Lung - Respiratory ciliated cells, Testis - Late spermatids, Thyroid gland - Parafollicular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			CAB025473	Uncertain				"Secreted in other tissues"	Enzyme	NA	NA				"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 59: Suprabasal keratinocytes - Cornification"				"CAB025473: "	"unprognostic (4.42e-1)"	"unprognostic (3.02e-1)"	"unprognostic (3.54e-1)"	"unprognostic (1.13e-1)"	"unprognostic (5.40e-3)"	"unprognostic (7.09e-3)"			"unprognostic (6.23e-3)"							"unprognostic (6.97e-4)"	"unprognostic (2.84e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.27e-1)"			"unprognostic (6.26e-2)"		"unprognostic (1.31e-1)"	"unprognostic (7.51e-2)"	"unprognostic (3.36e-2)"	"unprognostic (3.83e-1)"	"unprognostic (1.57e-1)"		"unprognostic (1.23e-5)"	"unprognostic (6.94e-2)"
FAM25C	bA164N7.4	ENSG00000276430	"Family with sequence similarity 25 member C"	B3EWG5	10	47995322-47999791	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"cervix: 14.3;esophagus: 29.3;salivary gland: 14.9;skin 1: 42.2;vagina: 13.0"	"Cell type enhanced"	"Detected in single"		"Suprabasal keratinocytes: 1.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"Head and Neck Squamous Cell Carcinoma (TCGA): 22.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 7.3;head and neck cancer: 2.9"										HPA044808	Uncertain						NA	NA				"Cluster 27: Squamous epithelium - Keratinization"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	16			"HPA044808: AB_2679096"	"unprognostic (5.47e-1)"			"unprognostic (1.33e-1)"					"unprognostic (2.77e-2)"																		"unprognostic (6.66e-1)"				
HOXD13	"HOX4I, SPD"	ENSG00000128714	"Homeobox D13"	P35453	2	176092721-176095944	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"cervix: 13.7;intestine: 17.6;prostate: 9.4;seminal vesicle: 15.7;vagina: 16.5"	"Cell type enhanced"	"Detected in some"		"Club cells: 3.3;Distal enterocytes: 10.6;Enteroendocrine cells: 12.9;Intestinal goblet cells: 9.2;Paneth cells: 5.9;Undifferentiated cells: 9.6"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"Bone cancer: 35.7"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA064064			Approved	Nucleoplasm			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"		"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 16: Intestinal goblet cells - Mucin production"	1	Nucleoplasm		"HPA064064: AB_2685186"	"unprognostic (1.41e-1)"		"unprognostic (2.63e-1)"	"unprognostic (1.22e-1)"	"unprognostic (4.46e-2)"	"unprognostic (7.96e-2)"	"unprognostic (1.38e-1)"	"unprognostic (6.11e-3)"	"unprognostic (4.21e-2)"									"unprognostic (2.03e-2)"	"unprognostic (5.63e-2)"					"unprognostic (1.33e-2)"	"unprognostic (5.78e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.23e-2)"		"unprognostic (1.26e-1)"		
IGFL1	UNQ644	ENSG00000188293	"IGF like family member 1"	Q6UW32	19	46229742-46231243	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"esophagus: 109.8;salivary gland: 33.5;vagina: 30.6"	"Cell type enriched"	"Detected in some"	41	"Suprabasal keratinocytes: 451.2"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bladder Urothelial Carcinoma (TCGA): 108.9;Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 70.6;Head and Neck Squamous Cell Carcinoma (TCGA): 83.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bladder cancer: 30.2;head and neck cancer: 34.3"										HPA014001	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"	2			"HPA014001: AB_2668919"	"unprognostic (6.40e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.47e-1)"	"unprognostic (2.09e-1)"	"unprognostic (3.18e-2)"				"unprognostic (2.27e-2)"							"unprognostic (8.72e-2)"		"unprognostic (9.02e-2)"	"unprognostic (1.44e-4)"	"unprognostic (2.60e-3)"	"unprognostic (2.20e-1)"	"unprognostic (9.35e-3)"	"unprognostic (1.45e-3)"		"unprognostic (1.28e-1)"		"unprognostic (2.98e-1)"	"unprognostic (7.80e-2)"			
FAM83C	"C20orf128, dJ614O4.7"	ENSG00000125998	"Family with sequence similarity 83 member C"	Q9BQN1	20	35285731-35292425	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"esophagus: 32.4;skin 1: 40.9;vagina: 14.6"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 26.7;Basal squamous epithelial cells: 18.6;Late spermatids: 12.4;Squamous epithelial cells: 27.3;Suprabasal keratinocytes: 55.3"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 13.5;Head and Neck Squamous Cell Carcinoma (TCGA): 21.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	11	"Bladder cancer: 1.2;Esophageal cancer: 1.8;head and neck cancer: 4.2"	"Prostate - Urothelial cells, Skin - Keratinocyte (other), Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB034227, HPA049978"	Uncertain						NA	NA				"Cluster 27: Squamous epithelium - Keratinization"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	1			"CAB034227: AB_1562876, HPA049978: AB_2680979"	"unprognostic (5.25e-2)"		"unprognostic (6.13e-2)"	"unprognostic (6.30e-2)"					"unprognostic (3.17e-3)"									"unprognostic (3.89e-2)"	"unprognostic (2.55e-1)"								"unprognostic (3.27e-1)"				
GJB5	CX31.1	ENSG00000189280	"Gap junction protein beta 5"	O95377	1	34755047-34758512	"Cancer-related genes, Predicted membrane proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"esophagus: 98.1;skin 1: 92.1;vagina: 33.9"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 54.7;Basal respiratory cells: 46.9;Basal squamous epithelial cells: 28.6;Squamous epithelial cells: 69.0;Suprabasal keratinocytes: 106.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	6	"Bladder Urothelial Carcinoma (TCGA): 31.9;Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 56.4;Head and Neck Squamous Cell Carcinoma (TCGA): 72.5;Lung Squamous Cell Carcinoma (TCGA): 31.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 47.7;head and neck cancer: 51.5"	"Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other), Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA038146	Uncertain						NA	NA				"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 51: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	32			"HPA038146: AB_10697242"	"unprognostic (6.84e-2)"	"unprognostic (2.83e-1)"	"unprognostic (5.92e-2)"	"unprognostic (2.36e-2)"	"unprognostic (2.87e-1)"	"unprognostic (3.14e-1)"			"unprognostic (1.12e-1)"				"unprognostic (1.63e-2)"			"unprognostic (1.38e-2)"		"unprognostic (3.18e-2)"	"unprognostic (1.26e-1)"	"unprognostic (6.19e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.66e-4)"	"unprognostic (3.21e-2)"	"unprognostic (2.45e-1)"	"unprognostic (8.15e-2)"	"unprognostic (1.70e-2)"	"unprognostic (2.73e-1)"	"unprognostic (2.04e-1)"	"unprognostic (2.13e-2)"		"unprognostic (3.37e-1)"
HEPHL1	"DKFZp686F22190, Zp"	ENSG00000181333	"Hephaestin like 1"	Q6MZM0	11	94021354-94114208	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"	"Copper transport, Ion transport, Transport"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"esophagus: 4.4;lymphoid tissue: 9.3;skin 1: 3.7;vagina: 4.4"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 16.9;granulocytes: 4.9;Serous glandular cells: 22.1;Suprabasal keratinocytes: 6.7"	"Low cell type specificity"	"Detected in some"			"Cancer enriched"	"Detected in some"	5	"Head and Neck Squamous Cell Carcinoma (TCGA): 22.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Bladder cancer: 4.7;colorectal cancer: 4.4;head and neck cancer: 9.4"		"Region enriched"	"Detected in single"	12	"olfactory bulb: 1.2"	"Not detected"	"Not detected"			HPA031517	Uncertain						NA	NA		170000000		"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	17			"HPA031517: AB_10603769"	"unprognostic (3.29e-2)"		"unprognostic (9.18e-2)"	"unprognostic (1.89e-2)"		"unprognostic (1.81e-3)"			"unprognostic (3.48e-1)"									"unprognostic (3.80e-2)"	"unprognostic (1.83e-3)"							"unprognostic (2.18e-2)"	"unprognostic (2.43e-1)"				
SERPINB3	"HsT1196, SCC, SCCA1, T4-A"	ENSG00000057149	"Serpin family B member 3"	P29508	18	63655197-63661893	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"		"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"cervix: 406.9;esophagus: 783.4;vagina: 649.5"	"Group enriched"	"Detected in some"	6	"Basal respiratory cells: 6892.3;Club cells: 4154.2;Ionocytes: 8813.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 456.7;Head and Neck Squamous Cell Carcinoma (TCGA): 187.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 24.1;pancreatic cancer: 15.2"	"Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Testis - Early spermatids, Testis - Late spermatids"									"CAB018772, CAB036006, CAB036007, HPA048341, HPA049988, HPA055992, HPA073892"	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA		15000000		"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 35: Respiratory epithelial cells - Unknown function"	39	Cytosol	"Plasma membrane"	"CAB018772: AB_2285759, CAB036006: , CAB036007: , HPA048341: AB_2680364, HPA049988: AB_2680985, HPA055992: AB_2682998, HPA073892: "	"unprognostic (6.24e-2)"	"unprognostic (9.82e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.73e-2)"					"unprognostic (2.77e-1)"					"unprognostic (1.08e-1)"		"unprognostic (4.10e-2)"	"unprognostic (3.30e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.72e-1)"			"unprognostic (4.25e-4)"	"unprognostic (1.35e-2)"	"unprognostic (1.48e-2)"			"unprognostic (2.30e-1)"	"unprognostic (2.14e-1)"	"unprognostic (6.38e-1)"		"unprognostic (5.16e-2)"
